iter	Logloss
0	0.5913767069
1	0.5442997085
2	0.4910521111
3	0.4604825496
4	0.4507552977
5	0.4405944957
6	0.4287041632
7	0.4067052025
8	0.400597627
9	0.3956065439
10	0.3817440276
11	0.3792652278
12	0.3764715373
13	0.3743220347
14	0.3702001989
15	0.3685692011
16	0.3674086188
17	0.3665965622
18	0.364111789
19	0.3633645943
20	0.3572055882
21	0.3566267717
22	0.3559081129
23	0.3547314029
24	0.3540988107
25	0.35340271
26	0.3530266987
27	0.3526341173
28	0.352156975
29	0.3511146246
30	0.3506708075
31	0.3495708794
32	0.3490968579
33	0.3485722508
34	0.3471028843
35	0.3466223561
36	0.3463586479
37	0.3462047631
38	0.3457838493
39	0.3455581827
40	0.3453969058
41	0.3452295059
42	0.3449872185
43	0.3445099054
44	0.3442848123
45	0.3439680133
46	0.3437675252
47	0.3404927822
48	0.3402887315
49	0.3400011186
50	0.3399383695
51	0.3396599714
52	0.3393769706
53	0.3392144704
54	0.3389392358
55	0.3387064732
56	0.3385641924
57	0.3382852794
58	0.3381827275
59	0.3380693459
60	0.3356319158
61	0.3355803871
62	0.3353443824
63	0.3349630719
64	0.3348992171
65	0.3347810135
66	0.3347226475
67	0.3345476511
68	0.3343787013
69	0.3341115211
70	0.3340655396
71	0.3335839411
72	0.3333619619
73	0.3329934977
74	0.3328124427
75	0.332537698
76	0.3324473034
77	0.3322239745
78	0.3320100191
79	0.3319208949
80	0.3316399216
81	0.3313230009
82	0.3313001635
83	0.3311186865
84	0.3309729703
85	0.3309173605
86	0.3303690565
87	0.3301890775
88	0.3300123648
89	0.3293717039
90	0.3289471661
91	0.3287389672
92	0.3287361379
93	0.3284534343
94	0.3282256799
95	0.3280204418
96	0.3278739168
97	0.3278489465
98	0.3275982558
99	0.327399416
100	0.3270211898
101	0.3268216121
102	0.326684933
103	0.3263210494
104	0.3258373565
105	0.3255441148
106	0.3251757557
107	0.3247274194
108	0.324508504
109	0.3241620314
110	0.3240589223
111	0.3239395641
112	0.323793871
113	0.3237044192
114	0.3236294113
115	0.323348442
116	0.3232717935
117	0.3231211617
118	0.3228698647
119	0.322615491
120	0.3223856081
121	0.3222469065
122	0.3220751158
123	0.3216663075
124	0.3213934582
125	0.3212599864
126	0.321061438
127	0.3209996009
128	0.3209617154
129	0.3209280283
130	0.3206830699
131	0.3206602216
132	0.3203470576
133	0.3202599448
134	0.3201604692
135	0.3199293135
136	0.3195753408
137	0.3194063668
138	0.3190707003
139	0.3189457687
140	0.318726444
141	0.3186332216
142	0.3185758538
143	0.3183044446
144	0.3181066056
145	0.3178167499
146	0.3176224776
147	0.3173944508
148	0.3171265056
149	0.316938184
150	0.316525075
151	0.3162208711
152	0.3159583246
153	0.3155584733
154	0.3154727996
155	0.3153556227
156	0.3153405459
157	0.3152067531
158	0.3151875432
159	0.3150769036
160	0.3147507435
161	0.3145567408
162	0.3144941641
163	0.3143540338
164	0.3143414767
165	0.314095073
166	0.3139829212
167	0.3138693629
168	0.3137480047
169	0.3135339724
170	0.3133231303
171	0.3131232184
172	0.3128935704
173	0.3126521215
174	0.3124043257
175	0.3123879046
176	0.312193394
177	0.3119551358
178	0.3117977316
179	0.3116469744
180	0.3114471849
181	0.3112200104
182	0.3111375592
183	0.3109879301
184	0.3104689784
185	0.3104641373
186	0.3102575478
187	0.310187341
188	0.3099424151
189	0.3097941561
190	0.3094273254
191	0.3093368589
192	0.3092641915
193	0.3091986971
194	0.3090574725
195	0.3088537799
196	0.3087637687
197	0.3086920639
198	0.3086237677
199	0.3084820983
200	0.3082460751
201	0.3081091845
202	0.3079029225
203	0.307690708
204	0.3074355325
205	0.3072355426
206	0.3072186218
207	0.307107089
208	0.3069530484
209	0.3068291574
210	0.3067110035
211	0.3065053327
212	0.3062943074
213	0.306292311
214	0.3062291835
215	0.3061757648
216	0.3058135322
217	0.3057152162
218	0.3055161843
219	0.3052038055
220	0.3050350294
221	0.3048218501
222	0.3047964372
223	0.3046117231
224	0.3044058156
225	0.3041867487
226	0.3039461246
227	0.3035716528
228	0.3034670676
229	0.3033849471
230	0.3033210056
231	0.3029978631
232	0.302921764
233	0.3028663052
234	0.3026999993
235	0.3025293191
236	0.3023982729
237	0.3022423876
238	0.3020500363
239	0.3019358374
240	0.3018252869
241	0.3016191075
242	0.3014190868
243	0.3011906626
244	0.3011000271
245	0.3010962607
246	0.3010743876
247	0.3009066999
248	0.3008982954
249	0.3007914166
250	0.3006237594
251	0.3004545391
252	0.3003204103
253	0.3002431969
254	0.3000486396
255	0.3000065479
256	0.2984968771
257	0.2984631078
258	0.2983100905
259	0.2981744496
260	0.2979131781
261	0.297705688
262	0.2975251344
263	0.2973516182
264	0.297345905
265	0.2971924397
266	0.2970977232
267	0.2969094953
268	0.2967064306
269	0.2966716974
270	0.2965670705
271	0.2964440207
272	0.2963002927
273	0.2961254036
274	0.2960797971
275	0.2960214576
276	0.2959465249
277	0.2959452031
278	0.2957744207
279	0.295773258
280	0.295656085
281	0.2953824965
282	0.2952277231
283	0.2950575998
284	0.2950292536
285	0.2948177095
286	0.2946806523
287	0.2946584439
288	0.2945571934
289	0.2943987691
290	0.2942431472
291	0.2938492488
292	0.2937024572
293	0.2935822383
294	0.293541496
295	0.2934517976
296	0.2932575889
297	0.292983899
298	0.292782102
299	0.2925973764
300	0.2924088583
301	0.2923573186
302	0.2922161512
303	0.2919955237
304	0.2919079226
305	0.2917193736
306	0.2915626425
307	0.2914472703
308	0.291434617
309	0.2912310688
310	0.2910319502
311	0.2909088121
312	0.2906695845
313	0.2905043615
314	0.2904440179
315	0.2903378123
316	0.290210536
317	0.2901254712
318	0.2899623103
319	0.2897850171
320	0.2896148704
321	0.2894309962
322	0.2891925139
323	0.288909861
324	0.2887474398
325	0.2885232985
326	0.2883216875
327	0.2882948035
328	0.2880645936
329	0.2880111545
330	0.2877865089
331	0.2876433178
332	0.2876068494
333	0.2873877102
334	0.287372683
335	0.287260257
336	0.2869826882
337	0.2867636519
338	0.286580551
339	0.2863489755
340	0.2861511912
341	0.2860733833
342	0.2858922317
343	0.2857424461
344	0.2856803634
345	0.2855502833
346	0.2852082387
347	0.2850210543
348	0.2849760305
349	0.2849357817
350	0.284776433
351	0.2845678737
352	0.2843269699
353	0.2841139032
354	0.2839631424
355	0.2837676998
356	0.2836914886
357	0.2835270346
358	0.2834193787
359	0.2833583705
360	0.28327921
361	0.2832776888
362	0.2831174603
363	0.2829728514
364	0.2828263345
365	0.2826226375
366	0.2824826248
367	0.2823223529
368	0.2821855749
369	0.2820711435
370	0.2818655104
371	0.2818172415
372	0.2816385733
373	0.2814533379
374	0.2813643276
375	0.2812821845
376	0.281108874
377	0.2809182337
378	0.28083475
379	0.2807995498
380	0.2806346918
381	0.2805384855
382	0.2804201716
383	0.2803044946
384	0.2801208513
385	0.2799976563
386	0.2797551228
387	0.279677041
388	0.2795747686
389	0.2794327069
390	0.2791650994
391	0.2791269324
392	0.2790112462
393	0.2789281183
394	0.2789049722
395	0.2786093171
396	0.2785871784
397	0.2785099872
398	0.2784017139
399	0.2783635995
400	0.2782605141
401	0.2782234071
402	0.2780410802
403	0.2779181262
404	0.2777160433
405	0.2775584497
406	0.277356014
407	0.2772093678
408	0.2769989477
409	0.2769378128
410	0.2768743706
411	0.2768713568
412	0.2768708063
413	0.276655272
414	0.2764293091
415	0.2762684543
416	0.2761062093
417	0.2760594587
418	0.2758775562
419	0.275716773
420	0.2757138062
421	0.2756288504
422	0.2754569704
423	0.2752569983
424	0.2751045246
425	0.274880242
426	0.2748656425
427	0.2747225574
428	0.274605332
429	0.2746005845
430	0.2744276541
431	0.2744154519
432	0.2742755425
433	0.2741182769
434	0.2739309855
435	0.2738437819
436	0.273772312
437	0.2736126026
438	0.2735092462
439	0.2734284919
440	0.273417628
441	0.2732585353
442	0.273129547
443	0.2730838376
444	0.2730648785
445	0.2728696881
446	0.2727808635
447	0.2724279913
448	0.272256871
449	0.2722526857
450	0.2720832321
451	0.2719876653
452	0.2718727591
453	0.2718382705
454	0.2717355567
455	0.2715804945
456	0.2715510536
457	0.2714388255
458	0.2713261566
459	0.2711935447
460	0.2709793577
461	0.2708496266
462	0.2707986142
463	0.2707871023
464	0.2707166776
465	0.2705435815
466	0.2704178853
467	0.2702524741
468	0.2700738608
469	0.2699736687
470	0.2699558365
471	0.2698993695
472	0.2698592587
473	0.2697955668
474	0.2696066852
475	0.2694266264
476	0.2693626058
477	0.2692575438
478	0.2692008743
479	0.2690275525
480	0.2689084406
481	0.2687650382
482	0.268722398
483	0.2686411589
484	0.2684742066
485	0.2684719428
486	0.2684550735
487	0.2682817347
488	0.2682610777
489	0.2681947708
490	0.267976879
491	0.2678053324
492	0.267764899
493	0.2675588556
494	0.2674586356
495	0.2673083398
496	0.2671020538
497	0.2669956718
498	0.2668615753
499	0.2667241541
500	0.2665143136
501	0.2665009628
502	0.2663262511
503	0.2660776242
504	0.2658355039
505	0.2658163117
506	0.2656974636
507	0.2655527666
508	0.2654035659
509	0.2654004429
510	0.2653971361
511	0.2653776068
