iter	Passed	Remaining
0	26	2648
1	50	2453
2	92	3003
3	119	2874
4	148	2814
5	180	2821
6	207	2762
7	236	2717
8	261	2643
9	291	2621
10	314	2543
11	334	2453
12	354	2369
13	373	2296
14	397	2250
15	419	2200
16	439	2146
17	460	2095
18	479	2046
19	499	1999
20	520	1956
21	540	1915
22	560	1876
23	580	1839
24	601	1803
25	620	1766
26	639	1730
27	659	1696
28	681	1668
29	701	1637
30	721	1606
31	741	1576
32	761	1546
33	781	1517
34	802	1489
35	822	1461
36	842	1433
37	861	1406
38	881	1378
39	902	1353
40	925	1331
41	951	1314
42	979	1298
43	999	1272
44	1019	1245
45	1041	1223
46	1075	1212
47	1096	1188
48	1118	1164
49	1140	1140
50	1162	1117
51	1183	1092
52	1215	1078
53	1236	1053
54	1255	1027
55	1274	1001
56	1295	977
57	1315	952
58	1335	928
59	1354	903
60	1374	879
61	1396	856
62	1426	837
63	1462	822
64	1499	807
65	1532	789
66	1574	775
67	1612	758
68	1650	741
69	1687	723
70	1723	703
71	1756	683
72	1786	660
73	1814	637
74	1834	611
75	1850	584
76	1869	558
77	1888	532
78	1908	507
79	1928	482
80	1947	456
81	1971	432
82	2007	411
83	2044	389
84	2083	367
85	2121	345
86	2166	323
87	2199	299
88	2224	274
89	2248	249
90	2270	224
91	2295	199
92	2318	174
93	2341	149
94	2370	124
95	2395	99
96	2420	74
97	2446	49
98	2471	24
99	2499	0
